driverId,truckId,eventTime,eventType,longitude,latitude,routeName,eventDate
15,51,59:28.8,Normal,-92.09,34.8,Joplin to Kansas City,2016-05-27-22
12,104,59:29.1,Normal,-90.07,35.68,Peoria to Ceder Rapids,2016-05-27-22
17,15,59:29.2,Normal,-91.56,38.93,Springfield to KC Via Columbia,2016-05-27-22
27,105,59:29.3,Normal,-91.56,38.93,Springfield to KC Via Columbia Route 2,2016-05-27-22
13,89,59:29.5,Normal,-90.82,41.66,Des Moines to Chicago.kml,2016-05-27-22
16,12,59:29.6,Normal,-91.78,42.23,Saint Louis to Memphis,2016-05-27-22
23,68,59:29.9,Normal,-91.78,42.23,Joplin to Kansas City Route 2,2016-05-27-22
11,74,59:30.0,Normal,-88.42,41.11,Saint Louis to Memphis Route2,2016-05-27-22
22,87,59:30.1,Normal,-92.31,34.78, Saint Louis to Chicago Route2,2016-05-27-22
21,109,59:30.4,Normal,-94.38,38.99,Memphis to Little Rock Route 2,2016-05-27-22
13,89,59:30.5,Normal,-90.64,41.56,Des Moines to Chicago.kml,2016-05-27-22
16,12,59:30.5,Normal,-91.78,42.23,Saint Louis to Memphis,2016-05-27-22
17,15,59:30.8,Normal,-92.03,38.97,Springfield to KC Via Columbia,2016-05-27-22
23,68,59:30.8,Normal,-91.63,41.72,Joplin to Kansas City Route 2,2016-05-27-22
32,42,59:31.2,Normal,-92.09,34.8,Peoria to Ceder Rapids Route 2,2016-05-27-22
13,89,59:31.4,Normal,-90.2,41.59,Des Moines to Chicago.kml,2016-05-27-22
24,97,59:31.4,Normal,-88.77,40.76,Peoria to Ceder Rapids Route 2,2016-05-27-22
16,12,59:31.4,Normal,-91.63,41.72,Saint Louis to Memphis,2016-05-27-22
29,66,59:31.6,Normal,-96.21,36.19,Wichita to Little Rock Route 2,2016-05-27-22
11,74,59:31.8,Normal,-89.17,40.38,Saint Louis to Memphis Route2,2016-05-27-22
19,26,59:32.1,Normal,-96.21,36.19,Wichita to Little Rock.kml,2016-05-27-22
32,42,59:32.1,Normal,-91.93,34.81,Peoria to Ceder Rapids Route 2,2016-05-27-22
30,58,59:32.4,Normal,-89.88,41.77,Des Moines to Chicago Route 2,2016-05-27-22
29,66,59:32.5,Normal,-95.99,36.17,Wichita to Little Rock Route 2,2016-05-27-22
26,57,59:32.5,Normal,-92.08,37.81,Saint Louis to Tulsa Route2,2016-05-27-22
28,39,59:33.0,Normal,-91.59,39.68,Springfield to KC Via Hanibal Route 2,2016-05-27-22
19,26,59:33.0,Normal,-95.99,36.17,Wichita to Little Rock.kml,2016-05-27-22
21,109,59:33.1,Normal,-94.37,38.0,Memphis to Little Rock Route 2,2016-05-27-22
29,66,59:33.2,Normal,-95.76,36.08,Wichita to Little Rock Route 2,2016-05-27-22
30,58,59:33.4,Normal,-89.6,41.76,Des Moines to Chicago Route 2,2016-05-27-22
15,51,59:33.5,Normal,-91.74,34.89,Joplin to Kansas City,2016-05-27-22
32,42,59:33.7,Normal,-91.38,34.83,Peoria to Ceder Rapids Route 2,2016-05-27-22
19,26,59:33.7,Normal,-95.76,36.08,Wichita to Little Rock.kml,2016-05-27-22
14,25,59:34.0,Normal,-94.3,37.66,Joplin to Kansas City Route 2,2016-05-27-22
26,57,59:34.2,Normal,-92.48,37.8,Saint Louis to Tulsa Route2,2016-05-27-22
16,12,59:34.3,Normal,-91.05,41.72,Saint Louis to Memphis,2016-05-27-22
15,51,59:34.4,Normal,-91.38,34.83,Joplin to Kansas City,2016-05-27-22
10,85,59:34.6,Normal,-92.61,37.7,Saint Louis to Tulsa,2016-05-27-22
31,18,59:34.7,Normal,-94.31,37.31,Memphis to Little Rock Route 2,2016-05-27-22
29,66,59:35.1,Normal,-95.42,35.87,Wichita to Little Rock Route 2,2016-05-27-22
15,51,59:35.1,Normal,-91.14,34.96,Joplin to Kansas City,2016-05-27-22
12,104,59:35.3,Normal,-89.65,36.37,Peoria to Ceder Rapids,2016-05-27-22
20,41,59:35.5,Normal,-88.96,42.25,Des Moines to Chicago Route 2,2016-05-27-22
31,18,59:35.6,Normal,-94.46,37.16,Memphis to Little Rock Route 2,2016-05-27-22
27,105,59:35.6,Normal,-92.85,38.93,Springfield to KC Via Columbia Route 2,2016-05-27-22
14,25,59:35.8,Normal,-94.46,37.16,Joplin to Kansas City Route 2,2016-05-27-22
26,57,59:35.9,Normal,-92.74,37.6,Saint Louis to Tulsa Route2,2016-05-27-22
18,16,59:36.3,Normal,-92.42,39.76,Springfield to KC Via Hanibal,2016-05-27-22
31,18,59:36.3,Normal,-94.58,37.03,Memphis to Little Rock Route 2,2016-05-27-22
19,26,59:36.4,Normal,-95.3,35.64,Wichita to Little Rock.kml,2016-05-27-22
21,109,59:36.4,Normal,-94.58,37.03,Memphis to Little Rock Route 2,2016-05-27-22
26,57,59:36.7,Normal,-92.89,37.51,Saint Louis to Tulsa Route2,2016-05-27-22
23,68,59:37.0,Normal,-89.91,40.86,Joplin to Kansas City Route 2,2016-05-27-22
12,104,59:37.1,Normal,-89.56,37.2,Peoria to Ceder Rapids,2016-05-27-22
11,74,59:37.2,Normal,-89.63,39.84,Saint Louis to Memphis Route2,2016-05-27-22
28,39,59:37.3,Normal,-92.57,39.77,Springfield to KC Via Hanibal Route 2,2016-05-27-22
32,42,59:37.4,Normal,-90.37,35.21,Peoria to Ceder Rapids Route 2,2016-05-27-22
25,96,59:37.6,Normal,-89.56,37.2,Memphis to Little Rock,2016-05-27-22
22,87,59:37.9,Normal,-90.04,35.19, Saint Louis to Chicago Route2,2016-05-27-22
21,109,59:37.9,Normal,-94.46,37.16,Memphis to Little Rock Route 2,2016-05-27-22
28,39,59:38.1,Normal,-92.74,39.76,Springfield to KC Via Hanibal Route 2,2016-05-27-22
32,42,59:38.2,Normal,-90.04,35.19,Peoria to Ceder Rapids Route 2,2016-05-27-22
16,12,59:38.7,Normal,-89.52,40.7,Saint Louis to Memphis,2016-05-27-22
15,51,59:38.7,Normal,-90.04,35.19,Joplin to Kansas City,2016-05-27-22
11,74,59:38.9,Normal,-88.77,40.76,Saint Louis to Memphis Route2,2016-05-27-22
10,85,59:38.9,Normal,-93.34,37.21,Saint Louis to Tulsa,2016-05-27-22
32,42,59:39.0,Normal,-90.04,35.19,Peoria to Ceder Rapids Route 2,2016-05-27-22
13,89,59:39.1,Normal,-87.66,41.89,Des Moines to Chicago.kml,2016-05-27-22
20,41,59:39.6,Normal,-87.66,41.89,Des Moines to Chicago Route 2,2016-05-27-22
23,68,59:39.6,Normal,-89.91,40.86,Joplin to Kansas City Route 2,2016-05-27-22
30,58,59:39.7,Normal,-87.66,41.89,Des Moines to Chicago Route 2,2016-05-27-22
31,18,59:39.7,Normal,-94.3,37.66,Memphis to Little Rock Route 2,2016-05-27-22
32,42,59:39.8,Normal,-90.37,35.21,Peoria to Ceder Rapids Route 2,2016-05-27-22
13,89,59:40.1,Normal,-87.66,41.89,Des Moines to Chicago.kml,2016-05-27-22
23,68,59:40.4,Normal,-90.29,40.96,Joplin to Kansas City Route 2,2016-05-27-22
26,57,59:40.5,Normal,-93.69,37.16,Saint Louis to Tulsa Route2,2016-05-27-22
16,12,59:40.6,Normal,-89.91,40.86,Saint Louis to Memphis,2016-05-27-22
32,42,59:40.7,Normal,-90.68,35.12,Peoria to Ceder Rapids Route 2,2016-05-27-22
17,15,59:40.8,Normal,-94.0,39.03,Springfield to KC Via Columbia,2016-05-27-22
20,41,59:41.3,Normal,-88.41,42.11,Des Moines to Chicago Route 2,2016-05-27-22
23,68,59:41.3,Normal,-90.44,41.54,Joplin to Kansas City Route 2,2016-05-27-22
15,51,59:41.4,Normal,-90.68,35.12,Joplin to Kansas City,2016-05-27-22
29,66,59:41.5,Normal,-93.61,35.51,Wichita to Little Rock Route 2,2016-05-27-22
21,109,59:41.5,Normal,-94.35,38.33,Memphis to Little Rock Route 2,2016-05-27-22
28,39,59:41.8,Normal,-93.6,39.77,Springfield to KC Via Hanibal Route 2,2016-05-27-22
13,89,59:42.0,Normal,-88.41,42.11,Des Moines to Chicago.kml,2016-05-27-22
23,68,59:42.2,Normal,-90.7,41.62,Joplin to Kansas City Route 2,2016-05-27-22
19,26,59:42.3,Normal,-93.36,35.4,Wichita to Little Rock.kml,2016-05-27-22
18,16,59:42.4,Normal,-93.93,39.76,Springfield to KC Via Hanibal,2016-05-27-22
11,74,59:42.6,Normal,-87.67,41.87,Saint Louis to Memphis Route2,2016-05-27-22
25,96,59:42.7,Normal,-90.15,38.62,Memphis to Little Rock,2016-05-27-22
20,41,59:42.9,Normal,-88.96,42.25,Des Moines to Chicago Route 2,2016-05-27-22
26,57,59:43.1,Normal,-94.54,37.02,Saint Louis to Tulsa Route2,2016-05-27-22
16,12,59:43.2,Normal,-90.7,41.62,Saint Louis to Memphis,2016-05-27-22
18,16,59:43.3,Normal,-94.15,39.77,Springfield to KC Via Hanibal,2016-05-27-22
10,85,59:43.5,Normal,-94.83,36.84,Saint Louis to Tulsa,2016-05-27-22
24,97,59:43.6,Normal,-88.07,41.48,Peoria to Ceder Rapids Route 2,2016-05-27-22
13,89,59:43.8,Normal,-88.96,42.25,Des Moines to Chicago.kml,2016-05-27-22
23,68,59:43.9,Normal,-91.32,41.71,Joplin to Kansas City Route 2,2016-05-27-22
21,109,59:44.1,Normal,-94.59,39.1,Memphis to Little Rock Route 2,2016-05-27-22
20,41,59:44.4,Normal,-89.29,41.85,Des Moines to Chicago Route 2,2016-05-27-22
28,39,59:44.5,Normal,-94.25,39.73,Springfield to KC Via Hanibal Route 2,2016-05-27-22
30,58,59:44.5,Normal,-88.96,42.25,Des Moines to Chicago Route 2,2016-05-27-22
13,89,59:44.8,Normal,-89.03,41.92,Des Moines to Chicago.kml,2016-05-27-22
29,66,59:44.8,Normal,-92.53,35.15,Wichita to Little Rock Route 2,2016-05-27-22
18,16,59:45.0,Normal,-94.24,39.63,Springfield to KC Via Hanibal,2016-05-27-22
28,39,59:45.3,Normal,-94.24,39.63,Springfield to KC Via Hanibal Route 2,2016-05-27-22
30,58,59:45.4,Normal,-89.03,41.92,Des Moines to Chicago Route 2,2016-05-27-22
11,74,59:45.5,Normal,-88.77,40.76,Saint Louis to Memphis Route2,2016-05-27-22
23,68,59:45.7,Normal,-91.63,41.72,Joplin to Kansas City Route 2,2016-05-27-22
15,51,59:45.8,Normal,-91.93,34.81,Joplin to Kansas City,2016-05-27-22
16,12,59:45.8,Normal,-91.47,41.74,Saint Louis to Memphis,2016-05-27-22
17,15,59:46.0,Normal,-94.16,39.04,Springfield to KC Via Columbia,2016-05-27-22
10,85,59:46.0,Normal,-95.35,36.47,Saint Louis to Tulsa,2016-05-27-22
23,68,59:46.4,Normal,-91.78,42.23,Joplin to Kansas City Route 2,2016-05-27-22
13,89,59:46.6,Normal,-89.6,41.76,Des Moines to Chicago.kml,2016-05-27-22
12,104,59:46.7,Normal,-89.56,37.2,Peoria to Ceder Rapids,2016-05-27-22
19,26,59:46.7,Normal,-92.25,34.75,Wichita to Little Rock.kml,2016-05-27-22
10,85,59:46.9,Overspeed,-95.5,36.37,Saint Louis to Tulsa,2016-05-27-22
11,74,59:47.3,Unsafe tail distance,-89.63,39.84,Saint Louis to Memphis Route2,2016-05-27-22
23,68,59:47.3,Normal,-91.78,42.23,Joplin to Kansas City Route 2,2016-05-27-22
21,109,59:47.5,Normal,-94.35,38.33,Memphis to Little Rock Route 2,2016-05-27-22
26,57,59:47.6,Normal,-95.5,36.37,Saint Louis to Tulsa Route2,2016-05-27-22
17,15,59:47.7,Normal,-93.85,39.01,Springfield to KC Via Columbia,2016-05-27-22
25,96,59:48.0,Normal,-89.54,36.84,Memphis to Little Rock,2016-05-27-22
16,12,59:48.2,Normal,-91.78,42.23,Saint Louis to Memphis,2016-05-27-22
11,74,59:48.2,Normal,-89.74,39.1,Saint Louis to Memphis Route2,2016-05-27-22
22,87,59:48.4,Normal,-92.09,34.8, Saint Louis to Chicago Route2,2016-05-27-22
10,85,59:48.5,Normal,-95.76,36.18,Saint Louis to Tulsa,2016-05-27-22
17,15,59:48.7,Normal,-93.65,39.0,Springfield to KC Via Columbia,2016-05-27-22
18,16,59:48.8,Normal,-94.57,39.15,Springfield to KC Via Hanibal,2016-05-27-22
32,42,59:49.0,Normal,-92.09,34.8,Peoria to Ceder Rapids Route 2,2016-05-27-22
31,18,59:49.0,Normal,-94.3,37.66,Memphis to Little Rock Route 2,2016-05-27-22
21,109,59:49.2,Normal,-94.3,37.66,Memphis to Little Rock Route 2,2016-05-27-22
26,57,59:49.3,Normal,-95.76,36.18,Saint Louis to Tulsa Route2,2016-05-27-22
18,16,59:49.6,Normal,-94.57,39.15,Springfield to KC Via Hanibal,2016-05-27-22
24,97,59:49.9,Normal,-90.2,38.65,Peoria to Ceder Rapids Route 2,2016-05-27-22
25,96,59:49.9,Normal,-89.8,35.94,Memphis to Little Rock,2016-05-27-22
15,51,59:50.0,Normal,-91.93,34.81,Joplin to Kansas City,2016-05-27-22
10,85,59:50.1,Normal,-95.99,36.17,Saint Louis to Tulsa,2016-05-27-22
26,57,59:50.2,Normal,-95.99,36.17,Saint Louis to Tulsa Route2,2016-05-27-22
25,96,59:50.7,Normal,-90.07,35.68,Memphis to Little Rock,2016-05-27-22
24,97,59:50.7,Normal,-89.74,39.1,Peoria to Ceder Rapids Route 2,2016-05-27-22
21,109,59:50.8,Normal,-94.46,37.16,Memphis to Little Rock Route 2,2016-05-27-22
27,105,59:50.9,Normal,-93.2,38.98,Springfield to KC Via Columbia Route 2,2016-05-27-22
26,57,59:50.9,Normal,-95.99,36.17,Saint Louis to Tulsa Route2,2016-05-27-22
32,42,59:51.4,Normal,-91.38,34.83,Peoria to Ceder Rapids Route 2,2016-05-27-22
24,97,59:51.5,Normal,-89.63,39.84,Peoria to Ceder Rapids Route 2,2016-05-27-22
12,104,59:51.6,Normal,-90.07,35.1,Peoria to Ceder Rapids,2016-05-27-22
28,39,59:51.6,Normal,-94.36,39.37,Springfield to KC Via Hanibal Route 2,2016-05-27-22
27,105,59:51.8,Normal,-93.01,38.97,Springfield to KC Via Columbia Route 2,2016-05-27-22
31,18,59:51.9,Normal,-94.58,37.03,Memphis to Little Rock Route 2,2016-05-27-22
19,26,59:52.3,Normal,-93.36,35.4,Wichita to Little Rock.kml,2016-05-27-22
30,58,59:52.4,Normal,-91.59,41.7,Des Moines to Chicago Route 2,2016-05-27-22
21,109,59:52.5,Normal,-94.58,37.03,Memphis to Little Rock Route 2,2016-05-27-22
26,57,59:52.7,Normal,-95.69,36.25,Saint Louis to Tulsa Route2,2016-05-27-22
29,66,59:52.7,Normal,-93.61,35.51,Wichita to Little Rock Route 2,2016-05-27-22
17,15,59:52.8,Normal,-92.63,38.95,Springfield to KC Via Columbia,2016-05-27-22
24,97,59:53.0,Normal,-88.77,40.76,Peoria to Ceder Rapids Route 2,2016-05-27-22
14,25,59:53.3,Normal,-94.58,37.03,Joplin to Kansas City Route 2,2016-05-27-22
12,104,59:53.4,Normal,-90.24,35.35,Peoria to Ceder Rapids,2016-05-27-22
27,105,59:53.8,Normal,-92.63,38.95,Springfield to KC Via Columbia Route 2,2016-05-27-22
17,15,59:53.8,Normal,-92.53,38.98,Springfield to KC Via Columbia,2016-05-27-22
31,18,59:53.8,Normal,-94.46,37.16,Memphis to Little Rock Route 2,2016-05-27-22
14,25,59:54.0,Normal,-94.46,37.16,Joplin to Kansas City Route 2,2016-05-27-22
25,96,59:54.2,Normal,-90.24,35.35,Memphis to Little Rock,2016-05-27-22
13,89,59:54.2,Normal,-92.4,41.78,Des Moines to Chicago.kml,2016-05-27-22
26,57,59:54.4,Normal,-95.35,36.47,Saint Louis to Tulsa Route2,2016-05-27-22
27,105,59:54.9,Normal,-92.53,38.98,Springfield to KC Via Columbia Route 2,2016-05-27-22
22,87,59:54.9,Normal,-90.37,35.21, Saint Louis to Chicago Route2,2016-05-27-22
30,58,59:55.0,Normal,-92.4,41.78,Des Moines to Chicago Route 2,2016-05-27-22
23,68,59:55.0,Normal,-89.52,40.7,Joplin to Kansas City Route 2,2016-05-27-22
26,57,59:55.2,Normal,-95.14,36.66,Saint Louis to Tulsa Route2,2016-05-27-22
10,85,59:55.2,Normal,-95.01,36.73,Saint Louis to Tulsa,2016-05-27-22
24,97,59:55.7,Normal,-87.67,41.87,Peoria to Ceder Rapids Route 2,2016-05-27-22
28,39,59:55.7,Normal,-93.93,39.76,Springfield to KC Via Hanibal Route 2,2016-05-27-22
32,42,59:55.8,Normal,-90.04,35.19,Peoria to Ceder Rapids Route 2,2016-05-27-22
18,16,59:56.0,Normal,-93.93,39.76,Springfield to KC Via Hanibal,2016-05-27-22
26,57,59:56.1,Normal,-95.01,36.73,Saint Louis to Tulsa Route2,2016-05-27-22
10,85,59:56.2,Normal,-94.83,36.84,Saint Louis to Tulsa,2016-05-27-22
22,87,59:56.5,Normal,-90.04,35.19, Saint Louis to Chicago Route2,2016-05-27-22
32,42,59:56.7,Normal,-90.04,35.19,Peoria to Ceder Rapids Route 2,2016-05-27-22
19,26,59:56.7,Normal,-94.88,35.47,Wichita to Little Rock.kml,2016-05-27-22
21,109,59:56.9,Normal,-94.35,38.33,Memphis to Little Rock Route 2,2016-05-27-22
10,85,59:57.1,Normal,-94.54,37.02,Saint Louis to Tulsa,2016-05-27-22
11,74,59:57.3,Normal,-87.67,41.87,Saint Louis to Memphis Route2,2016-05-27-22
20,41,59:57.4,Normal,-93.58,41.62,Des Moines to Chicago Route 2,2016-05-27-22
14,25,59:57.5,Normal,-94.35,38.33,Joplin to Kansas City Route 2,2016-05-27-22
26,57,59:57.6,Normal,-94.54,37.02,Saint Louis to Tulsa Route2,2016-05-27-22
21,109,59:57.7,Normal,-94.38,38.67,Memphis to Little Rock Route 2,2016-05-27-22
16,12,59:57.8,Normal,-89.91,40.86,Saint Louis to Memphis,2016-05-27-22
20,41,59:58.2,Normal,-93.36,41.69,Des Moines to Chicago Route 2,2016-05-27-22
17,15,59:58.3,Normal,-91.56,38.93,Springfield to KC Via Columbia,2016-05-27-22
28,39,59:58.4,Normal,-93.13,39.78,Springfield to KC Via Hanibal Route 2,2016-05-27-22
27,105,59:58.4,Normal,-91.74,38.94,Springfield to KC Via Columbia Route 2,2016-05-27-22
21,109,59:58.7,Normal,-94.38,38.99,Memphis to Little Rock Route 2,2016-05-27-22
15,51,59:59.1,Normal,-90.68,35.12,Joplin to Kansas City,2016-05-27-22
14,25,59:59.2,Normal,-94.38,38.99,Joplin to Kansas City Route 2,2016-05-27-22
22,87,59:59.2,Normal,-90.94,35.03, Saint Louis to Chicago Route2,2016-05-27-22
26,57,59:59.3,Normal,-93.96,37.08,Saint Louis to Tulsa Route2,2016-05-27-22
30,58,59:59.4,Normal,-93.58,41.62,Des Moines to Chicago Route 2,2016-05-27-22
21,109,59:59.5,Normal,-94.59,39.1,Memphis to Little Rock Route 2,2016-05-27-22
16,12,59:59.6,Normal,-90.44,41.54,Saint Louis to Memphis,2016-05-27-22
15,51,00:00.0,Normal,-90.94,35.03,Joplin to Kansas City,2016-05-27-22
28,39,00:00.1,Normal,-92.74,39.76,Springfield to KC Via Hanibal Route 2,2016-05-27-22
30,58,00:00.3,Normal,-93.36,41.69,Des Moines to Chicago Route 2,2016-05-27-22
19,26,00:00.4,Normal,-95.56,35.97,Wichita to Little Rock.kml,2016-05-27-22
25,96,00:00.4,Normal,-90.0,37.72,Memphis to Little Rock,2016-05-27-22
29,66,00:00.8,Normal,-95.76,36.08,Wichita to Little Rock Route 2,2016-05-27-22
11,74,00:00.8,Normal,-89.17,40.38,Saint Louis to Memphis Route2,2016-05-27-22
32,42,00:01.0,Normal,-91.38,34.83,Peoria to Ceder Rapids Route 2,2016-05-27-22
20,41,00:01.1,Normal,-92.4,41.78,Des Moines to Chicago Route 2,2016-05-27-22
23,68,00:01.2,Normal,-91.32,41.71,Joplin to Kansas City Route 2,2016-05-27-22
19,26,00:01.3,Normal,-95.76,36.08,Wichita to Little Rock.kml,2016-05-27-22
10,85,00:01.5,Normal,-93.14,37.26,Saint Louis to Tulsa,2016-05-27-22
11,74,00:01.8,Normal,-89.63,39.84,Saint Louis to Memphis Route2,2016-05-27-22
23,68,00:02.0,Normal,-91.47,41.74,Joplin to Kansas City Route 2,2016-05-27-22
21,109,00:02.0,Normal,-94.38,38.67,Memphis to Little Rock Route 2,2016-05-27-22
19,26,00:02.3,Normal,-95.99,36.17,Wichita to Little Rock.kml,2016-05-27-22
25,96,00:02.4,Normal,-90.35,38.43,Memphis to Little Rock,2016-05-27-22
17,15,00:02.6,Normal,-90.79,38.83,Springfield to KC Via Columbia,2016-05-27-22
31,18,00:02.8,Normal,-94.38,38.67,Memphis to Little Rock Route 2,2016-05-27-22
23,68,00:02.8,Normal,-91.63,41.72,Joplin to Kansas City Route 2,2016-05-27-22
18,16,00:02.9,Normal,-92.27,39.76,Springfield to KC Via Hanibal,2016-05-27-22
19,26,00:03.1,Normal,-96.21,36.19,Wichita to Little Rock.kml,2016-05-27-22
25,96,00:03.3,Normal,-90.15,38.62,Memphis to Little Rock,2016-05-27-22
17,15,00:03.6,Normal,-90.67,38.82,Springfield to KC Via Columbia,2016-05-27-22
31,18,00:03.7,Normal,-94.35,38.33,Memphis to Little Rock Route 2,2016-05-27-22
30,58,00:03.8,Normal,-92.19,41.74,Des Moines to Chicago Route 2,2016-05-27-22
21,109,00:03.9,Normal,-94.37,38.0,Memphis to Little Rock Route 2,2016-05-27-22
26,57,00:03.9,Normal,-92.89,37.51,Saint Louis to Tulsa Route2,2016-05-27-22
29,66,00:04.2,Normal,-96.68,36.2,Wichita to Little Rock Route 2,2016-05-27-22
28,39,00:04.4,Normal,-91.8,39.67,Springfield to KC Via Hanibal Route 2,2016-05-27-22
14,25,00:04.6,Normal,-94.37,38.0,Joplin to Kansas City Route 2,2016-05-27-22
11,74,00:04.6,Normal,-90.2,38.65,Saint Louis to Memphis Route2,2016-05-27-22
21,109,00:04.7,Normal,-94.3,37.66,Memphis to Little Rock Route 2,2016-05-27-22
26,57,00:04.8,Normal,-92.74,37.6,Saint Louis to Tulsa Route2,2016-05-27-22
29,66,00:05.0,Normal,-96.97,36.24,Wichita to Little Rock Route 2,2016-05-27-22
31,18,00:05.4,Normal,-94.3,37.66,Memphis to Little Rock Route 2,2016-05-27-22
11,74,00:05.4,Unsafe following distance,-89.74,39.1,Saint Louis to Memphis Route2,2016-05-27-22
23,68,00:05.5,Normal,-91.63,41.72,Joplin to Kansas City Route 2,2016-05-27-22
12,104,00:05.6,Normal,-90.0,37.72,Peoria to Ceder Rapids,2016-05-27-22
28,39,00:05.9,Normal,-91.36,39.76,Springfield to KC Via Hanibal Route 2,2016-05-27-22
29,66,00:05.9,Normal,-97.14,36.41,Wichita to Little Rock Route 2,2016-05-27-22
15,51,00:06.2,Normal,-92.31,34.78,Joplin to Kansas City,2016-05-27-22
